"GEOID","frp_z_h.ss","frp_z_h.m","frp_mm_h.ss","frp_mm_h.m","frp_d_h.ss","frp_d_h.m","frp_z_nh.ss","frp_z_nh.m","frp_mm_nh.ss","frp_mm_nh.m","frp_d_nh.ss","frp_d_nh.m","fri7_z_h.ss","fri9_z_h.ss","fri7_mm_h.ss","fri9_mm_h.ss","fri7_d_h.ss","fri9_d_h.ss","fri7_z_h.m","fri9_z_h.m","fri7_mm_h.m","fri9_mm_h.m","fri7_d_h.m","fri9_d_h.m","fri7_z_nh.ss","fri9_z_nh.ss","fri7_mm_nh.ss","fri9_mm_nh.ss","fri7_d_nh.ss","fri9_d_nh.ss","fri7_z_nh.m","fri9_z_nh.m","fri7_mm_nh.m","fri9_mm_nh.m","fri7_d_nh.m","fri9_d_nh.m","frp_base","fri7_base","fri9_base","fri9_counts","fri7_counts","is_urban","frp_range","fri_any","fri_any_z"
53053071206,0.61522633744856,0.63443072702332,0.540466392318244,0.554183813443073,0.685871056241427,0.725651577503429,0.620713305898491,0.642661179698217,0.560356652949246,0.580246913580247,0.674897119341564,0.690672153635117,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0.8,1,1,1,9,1,0.259533607681756,1,1
53053071207,0.673525377229081,0.695473251028807,0.515775034293553,0.532235939643347,0.800411522633745,0.817558299039781,0.681755829903978,0.701646090534979,0.607681755829904,0.63443072702332,0.785322359396433,0.794924554183813,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0.8,1,1,3,11,1,0.301783264746228,1,1
53053071208,0.587105624142661,0.613168724279835,0.483539094650206,0.5,0.757201646090535,0.768175582990398,0.611111111111111,0.635116598079561,0.539094650205761,0.55761316872428,0.729766803840878,0.742112482853224,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0.8,1,1,1,8,1,0.316460905349794,1,1
53053071209,0.452674897119342,0.473936899862826,0.316186556927298,0.339506172839506,0.476680384087792,0.551440329218107,0.366941015089163,0.376543209876543,0.299039780521262,0.312071330589849,0.445130315500686,0.494513031550069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1,0,0,1,1,0.300960219478738,1,0
53053071210,0.331961591220851,0.315500685871056,0.255144032921811,0.280521262002743,0.419067215363512,0.491083676268861,0.327160493827161,0.303155006858711,0.331275720164609,0.332647462277092,0.46639231824417,0.50960219478738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1,0,0,1,1,0.344855967078189,1,0
53053071304,0.521262002743484,0.531550068587106,0.340192043895748,0.37037037037037,0.600137174211248,0.647462277091907,0.472565157750343,0.484910836762689,0.412208504801097,0.434156378600823,0.615912208504801,0.639917695473251,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.7,1,0,0,5,1,0.359807956104252,1,0
53053071305,0.765432098765432,0.784636488340192,0.792866941015089,0.788065843621399,0.863511659807956,0.86556927297668,0.736625514403292,0.757887517146776,0.736625514403292,0.744855967078189,0.819615912208505,0.825102880658436,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0.9,1,1,5,13,1,0.163374485596708,1,1
53053071306,0.336076817558299,0.349794238683128,0.229080932784636,0.248971193415638,0.497942386831276,0.563786008230453,0.313443072702332,0.320301783264746,0.265432098765432,0.281893004115226,0.46639231824417,0.50960219478738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1,0,0,1,1,0.370919067215364,1,0
53053071307,0.469135802469136,0.476680384087792,0.368312757201646,0.401234567901235,0.600137174211248,0.647462277091907,0.397805212620027,0.400548696844993,0.373113854595336,0.387517146776406,0.560356652949246,0.600137174211248,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7,1,0,0,4,1,0.331687242798354,1,0
53053071309,0.613854595336077,0.646776406035665,0.453360768175583,0.453360768175583,0.666666666666667,0.679012345679012,0.48559670781893,0.507544581618656,0.375857338820302,0.393689986282579,0.572702331961591,0.591906721536351,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1,0,0,5,1,0.324142661179698,1,1
53053071310,0.371056241426612,0.383401920438957,0.338134430727023,0.345679012345679,0.554183813443073,0.585733882030178,0.310699588477366,0.323045267489712,0.300411522633745,0.318930041152263,0.45679012345679,0.502057613168724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1,0,0,1,1,0.299588477366255,1,0
