"GEOID","frp_z_h.ss","frp_z_h.m","frp_mm_h.ss","frp_mm_h.m","frp_d_h.ss","frp_d_h.m","frp_z_nh.ss","frp_z_nh.m","frp_mm_nh.ss","frp_mm_nh.m","frp_d_nh.ss","frp_d_nh.m","fri_z_h.ss","fri_mm_h.ss","fri_d_h.ss","fri_z_h.m","fri_mm_h.m","fri_d_h.m","fri_z_nh.ss","fri_mm_nh.ss","fri_d_nh.ss","fri_z_nh.m","fri_mm_nh.m","fri_d_nh.m","frp_base","fri_base","frp_range","fri_counts","is_urban"
53011043100,0.705417607223476,0.763544018058691,0.81038374717833,0.831828442437923,0.585214446952596,0.713318284424379,0.717268623024831,0.753386004514673,0.803047404063205,0.814334085778781,0.602708803611738,0.700338600451467,1,1,0,1,1,1,1,1,0,1,1,1,0.585593220339,0,0.246613995485327,10,1
53013960200,0.36568848758465,0.146162528216704,0.18510158013544,0.101015801354402,0.656884875846501,0.356094808126411,0.34255079006772,0.217268623024831,0.121331828442438,0.0908577878103837,0.720090293453725,0.579006772009029,0,0,1,0,0,0,0,0,1,0,0,0,0.499152542373,0,0.629232505643341,2,0
53015000400,0.912528216704289,0.939051918735892,0.860045146726862,0.877539503386005,0.975169300225734,0.985327313769752,0.904063205417607,0.91647855530474,0.918171557562077,0.921557562076749,0.971218961625282,0.980248306997743,1,1,1,1,1,1,1,1,1,1,1,1,0.938983050847,1,0.12528216704289,13,1
53015000501,0.927200902934537,0.949774266365689,0.97234762979684,0.980812641083521,0.918735891647856,0.953160270880361,0.957110609480813,0.968961625282167,0.989277652370203,0.989277652370203,0.963882618510158,0.975733634311512,1,1,1,1,1,1,1,1,1,1,1,1,0.916384180791,1,0.072893471579203,13,1
53015000502,0.977990970654628,0.983069977426637,0.996049661399549,0.99548532731377,0.994356659142212,0.994920993227991,0.989841986455982,0.989841986455982,0.998871331828442,0.998871331828442,0.993792325056433,0.993227990970655,1,1,1,1,1,1,1,1,1,1,1,1,0.98418079096,1,0.020880361173814,13,1
53015000601,0.967268623024831,0.976297968397291,0.993227990970655,0.992099322799097,0.997742663656885,0.998871331828442,0.9813769751693,0.983634311512415,0.994920993227991,0.994920993227991,0.996049661399549,0.997742663656885,1,1,1,1,1,1,1,1,1,1,1,1,0.962711864407,1,0.0361594674214419,13,1
53015000602,0.882054176072235,0.920993227990971,0.908577878103837,0.924379232505643,0.795146726862302,0.875846501128668,0.858352144469526,0.890519187358916,0.933408577878104,0.938487584650113,0.712189616252822,0.794018058690745,1,1,1,1,1,1,1,1,1,1,1,1,0.850282485876,1,0.226297968397291,13,1
53015000702,0.619074492099323,0.665914221218962,0.652370203160271,0.685665914221219,0.684537246049661,0.775959367945824,0.730248306997743,0.751693002257336,0.797404063205418,0.811512415349887,0.786681715575621,0.831828442437923,0,1,1,1,1,1,1,1,1,1,1,1,0.746892655367,1,0.2127539503386,12,1
53015000703,0.887697516930023,0.788939051918736,0.920428893905192,0.850451467268623,0.885440180586907,0.756207674943567,0.922121896162528,0.86568848758465,0.889954853273138,0.854966139954853,0.915914221218962,0.859480812641084,1,1,1,1,1,1,1,1,1,1,1,1,0.827683615819,1,0.165914221218961,13,1
53015000705,0.277088036117381,0.233634311512415,0.279345372460497,0.285553047404063,0.585214446952596,0.480812641083521,0.242663656884876,0.196388261851016,0.244356659142212,0.248871331828442,0.581264108352144,0.538374717832957,0,0,0,0,0,0,0,0,0,0,0,0,0.566666666667,0,0.38882618510158,0,1
53015000706,0.148984198645598,0.152370203160271,0.182844243792325,0.224040632054176,0.257336343115124,0.203160270880361,0.187358916478555,0.148419864559819,0.19920993227991,0.216704288939052,0.42607223476298,0.348194130925508,0,0,0,0,0,0,0,0,0,0,0,0,0.318079096045,0,0.277652370203161,0,1
53015000801,0.163656884875847,0.290067720090293,0.187923250564334,0.274830699774266,0.116817155756208,0.233069977426637,0.273702031602709,0.378668171557562,0.419864559819413,0.459367945823928,0.147855530474041,0.207674943566591,0,0,0,0,0,0,0,0,0,0,0,0,0.275988700565,0,0.34255079006772,0,1
53015000802,0.0750564334085779,0.0648984198645598,0.0886004514672686,0.109480812641084,0.170993227990971,0.148419864559819,0.102144469525959,0.0790067720090293,0.0835214446952596,0.103837471783296,0.251693002257336,0.248306997742664,0,0,0,0,0,0,0,0,0,0,0,0,0.159322033898,0,0.186794582392776,0,1
53015000901,0.181151241534989,0.163092550790068,0.168171557562077,0.200338600451467,0.141083521444695,0.0564334085778781,0.191873589164786,0.139390519187359,0.143905191873589,0.160270880361174,0.18961625282167,0.123589164785553,0,0,0,0,0,0,0,0,0,0,0,0,0.465254237288,0,0.408820828710122,0,1
53015000902,0.137133182844244,0.126975169300226,0.159142212189616,0.164221218961625,0.292325056433409,0.356094808126411,0.205981941309255,0.17607223476298,0.187358916478555,0.19920993227991,0.487584650112867,0.493227990970655,0,0,0,0,0,0,0,0,0,0,0,0,0.285875706215,0,0.366252821670429,0,1
53015001000,0.863995485327314,0.904063205417607,0.88882618510158,0.910835214446953,0.900112866817156,0.928329571106095,0.920993227990971,0.937358916478555,0.955981941309255,0.958803611738149,0.922121896162528,0.938487584650113,1,1,1,1,1,1,1,1,1,1,1,1,0.884745762712,1,0.094808126410835,13,1
53015001100,0.845936794582393,0.883182844243792,0.755079006772009,0.793453724604966,0.918735891647856,0.919300225733634,0.864559819413093,0.895033860045147,0.908577878103837,0.910835214446953,0.85665914221219,0.862302483069977,1,1,1,1,1,1,1,1,1,1,1,1,0.943502824859,1,0.188423818086991,13,1
